Port Name,State,Port Code,Border,Date,Measure,Value
Alcan,AK,3104,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,2384
Alcan,AK,3104,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,1395
Alcan,AK,3104,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,417
Alcan,AK,3104,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,106
Alcan,AK,3104,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,530
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Bus Passengers,359
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Buses,16
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,35798
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,16808
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,1981
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,15852
Alexandria Bay,NY,708,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,17690
Algonac,MI,3814,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,2610
Algonac,MI,3814,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,1451
Ambrose,ND,3410,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,60
Ambrose,ND,3410,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,40
Andrade,CA,2502,US-Mexico Border,03/01/2020 12:00:00 AM,Pedestrians,75638
Andrade,CA,2502,US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,70204
Andrade,CA,2502,US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicles,39473
Antler,ND,3413,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,347
Antler,ND,3413,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,225
Antler,ND,3413,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,130
Antler,ND,3413,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,130
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Bus Passengers,75
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Buses,3
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Pedestrians,7
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,10784
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,6504
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,617
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,7
Baudette,MN,3424,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,631
Beecher Falls,VT,206,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,2771
Beecher Falls,VT,206,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,1721
Beecher Falls,VT,206,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,497
Beecher Falls,VT,206,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,331
Beecher Falls,VT,206,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,854
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Bus Passengers,3977
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Buses,380
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,198460
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,119942
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Empty,10941
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Full,8316
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Train Passengers,1776
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Trains,180
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,9494
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,19547
Blaine,WA,3004,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,28552
Boquillas,TX,2410,US-Mexico Border,03/01/2020 12:00:00 AM,Pedestrians,2629
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Pedestrians,1
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,1393
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,920
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Empty,539
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Full,657
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Train Passengers,64
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Trains,25
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,14
Boundary,WA,3015,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,14
Bridgewater,ME,127,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,2805
Bridgewater,ME,127,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,1630
Bridgewater,ME,127,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,227
Bridgewater,ME,127,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,34
Bridgewater,ME,127,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,267
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Bus Passengers,2572
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Buses,419
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Pedestrians,176254
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,523214
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicles,307109
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Rail Containers Empty,7449
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Rail Containers Full,938
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Trains,87
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Truck Containers Empty,14705
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Truck Containers Full,10403
Brownsville,TX,2301,US-Mexico Border,03/01/2020 12:00:00 AM,Trucks,25386
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Bus Passengers,5995
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Buses,344
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Pedestrians,4562
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,290060
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,153831
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Empty,3401
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Full,9598
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Train Passengers,589
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Trains,169
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,17627
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,56777
Buffalo-Niagara Falls,NY,901,US-Canada Border,03/01/2020 12:00:00 AM,Trucks,73995
Calais,ME,115,US-Canada Border,03/01/2020 12:00:00 AM,Pedestrians,248
Calais,ME,115,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,37038
Calais,ME,115,US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,24189
Calais,ME,115,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Empty,39
Calais,ME,115,US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Full,36
