Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,12440171,10643776
US-Mexico Border,12/01/2019 12:00:00 AM,Personal Vehicles,6379237,5773753
US-Mexico Border,12/01/2019 12:00:00 AM,Pedestrians,4531122,3979497
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3873280,4317456
US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,1992476,2312170
US-Mexico Border,12/01/2019 12:00:00 AM,Trucks,477111,511300
US-Canada Border,12/01/2019 12:00:00 AM,Trucks,417733,458796
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Full,353884,378923
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,328319,357598
US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,195238,177041
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,166832,157158
US-Mexico Border,12/01/2019 12:00:00 AM,Truck Containers Empty,129766,137769
US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,102803,114557
US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,74776,159578
US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,60875,61575
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Empty,49791,48920
US-Mexico Border,12/01/2019 12:00:00 AM,Rail Containers Full,37506,38180
US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,22377,52384
US-Mexico Border,12/01/2019 12:00:00 AM,Buses,14647,11811
US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,13718,26885
US-Canada Border,12/01/2019 12:00:00 AM,Buses,3172,7162
US-Canada Border,12/01/2019 12:00:00 AM,Trains,1774,1830
US-Mexico Border,12/01/2019 12:00:00 AM,Trains,913,914
US-Mexico Border,12/01/2019 12:00:00 AM,Train Passengers,707,798
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,11330030,10557994
US-Mexico Border,11/01/2019 12:00:00 AM,Personal Vehicles,6019934,5742980
US-Mexico Border,11/01/2019 12:00:00 AM,Pedestrians,4179255,3954528
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicle Passengers,3550247,4413358
US-Canada Border,11/01/2019 12:00:00 AM,Personal Vehicles,1929352,2360022
US-Mexico Border,11/01/2019 12:00:00 AM,Trucks,518084,510452
US-Canada Border,11/01/2019 12:00:00 AM,Trucks,455384,459222
US-Mexico Border,11/01/2019 12:00:00 AM,Truck Containers Full,386071,378029
US-Canada Border,11/01/2019 12:00:00 AM,Truck Containers Full,356469,357740
